OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.00400160,Sample-Routine,Water,Groundwater,2003-12-17,12:00:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-351026106112601,,,,Not applicable,Not applicable,,,USGS,USGS,USGS,,Unknown,NWIS-30362395,,,Oxygen-18/Oxygen-16 ratio,Total,-10.71,per mil,,Preliminary,,Actual,,,,,,,,,,,82085,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.00400119,Sample-Routine,Water,Groundwater,2003-12-04,10:40:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-351333106112201,,,,Not applicable,Not applicable,,,USGS,USGS,USGS,,Unknown,NWIS-30360999,,,Oxygen-18/Oxygen-16 ratio,Total,-10.88,per mil,,Preliminary,,Actual,,,,,,,,,,,82085,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.00400124,Sample-Routine,Water,Groundwater,2003-12-05,13:55:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-351201106092201,,,,Not applicable,Not applicable,,,USGS,USGS,USGS,,Unknown,NWIS-30361255,,,Oxygen-18/Oxygen-16 ratio,Total,-10.95,per mil,,Preliminary,,Actual,,,,,,,,,,,82085,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.00400125,Sample-Routine,Water,Groundwater,2003-12-05,09:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-350317106104101,,,,Not applicable,Not applicable,,,USGS,USGS,USGS,,Unknown,NWIS-30361318,,,Oxygen-18/Oxygen-16 ratio,Total,-9.82,per mil,,Preliminary,,Actual,,,,,,,,,,,82085,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.00500189,Sample-Routine,Water,Groundwater,2004-12-08,13:00:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-350743106114201,,A-3510144 This sample was PREPAID in FY04.,Madera Limestone,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-30386451,,,Oxygen-18/Oxygen-16 ratio,Total,-10.33,per mil,,Preliminary,,Actual,,,,,,,,,,,82085,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.00500188,Sample-Routine,Water,Groundwater,2004-12-08,12:00:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-350715106052301,,A-3510143 This sample was PREPAID in FY04.,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-104855844,,,Oxygen-18/Oxygen-16 ratio,Total,-10.52,per mil,,Preliminary,,Actual,,,,,,,,,,,82085,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.00900593,Sample-Routine,Water,Surface Water,2009-08-13,12:47:00,MDT,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-08313000,,"A-2300069 Sample submitted is raw unacidified.  Please filter sample in the lab.  Retain and acidify filtrate (liquid) for dissolved analysis.  Retain the filtrand for sus sed (ss) analysis.  See ASR for additional cmts. L-2300069 LC's 1962, 1964, 2800, 1531, and 1533 added 10/19/09, paa  Updated SI",,"Stable, normal stage",Routine sample,,,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-95 Teflon bottle,NWIS-85142806,Not Detected,,CFC-12,Recoverable,,,,Accepted,,Actual,,,,,,,,,,The parameter 34668 is a highly variable compound in schedule 11380,34668,,,,,,,,,GCM68,USGS,"VOC, wu, censor at <RL, GCMS",,USGS OF 97-829,"USGS-National Water Quality Lab, Denver, CO",2009-08-20,value is highly variable by this methodsee result laboratory comment,,Lower Reporting Limit,0.2,ug/l,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.01402232,Quality Control Sample-Field Replicate,Water,Groundwater,2014-06-12,10:00:00,MDT,,,,,,,,,,,,,,USGS - Colorado Water Science Center,USGS-353118105550901,,"L-1670126 please lab filter S2434 cmt added per Bauch, paa, 7/9/14  Samples were received chilled at the WHOI lab.","Tesuque Formation, Undifferentiated Unit",Not applicable,Not applicable,,,4040,USGS parameter code 82398,Submersible pump,,Submersible centrifugal pump,NWIS-98575044,,,Helium-3/helium-4 ratio,Total,0.000001105,ratio,,Preliminary,,Actual,,,,,1.0539E-08,,,,,NAWQA-14-CO Noble Gas Data_Batch,61040,,,,,,,,,MS071,USGS,Noble gas isotopes (USGS-NGL),,USGS TMR 5-A11,"USGS Noble Gas Lab, Denver Federal Center",2014-07-01,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.01402232,Quality Control Sample-Field Replicate,Water,Groundwater,2014-06-12,10:00:00,MDT,,,,,,,,,,,,,,USGS - Colorado Water Science Center,USGS-353118105550901,,"L-1670126 please lab filter S2434 cmt added per Bauch, paa, 7/9/14  Samples were received chilled at the WHOI lab.","Tesuque Formation, Undifferentiated Unit",Not applicable,Not applicable,,,4040,USGS parameter code 82398,Submersible pump,,Submersible centrifugal pump,NWIS-98575063,,,Delta boron-11/boron-10,Dissolved,14.6,per mil,,Preliminary,,Actual,,,,,,,,,,,62648,,,,,,,,,MS060,USGS,"B-11/B-10, wf, neg therm-ion MS",,"Fresenius J. Anal. Chem., 1996, 354(7-8), 903-909","USGS-NRP, Metals Isotope Research Lab, Menlo Park, CA",,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.01402232,Quality Control Sample-Field Replicate,Water,Groundwater,2014-06-12,10:00:00,MDT,,,,,,,,,,,,,,USGS - Colorado Water Science Center,USGS-353118105550901,,"L-1670126 please lab filter S2434 cmt added per Bauch, paa, 7/9/14  Samples were received chilled at the WHOI lab.","Tesuque Formation, Undifferentiated Unit",Not applicable,Not applicable,,,4040,USGS parameter code 82398,Submersible pump,,Submersible centrifugal pump,NWIS-98575305,,,"Strontium-87/Strontium-86, ratio",Dissolved,0.71556,ratio,,Preliminary,,Actual,,,,,,,,,,,75978,,,,,,,,,MS061,USGS,"Sr-87/Sr-86, wf, MS",,"Geochim Cosmochim Acta, 1996, v 60, p 1807-1821","USGS-NRP, Metals Isotope Research Lab, Menlo Park, CA",,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.01402232,Quality Control Sample-Field Replicate,Water,Groundwater,2014-06-12,10:00:00,MDT,,,,,,,,,,,,,,USGS - Colorado Water Science Center,USGS-353118105550901,,"L-1670126 please lab filter S2434 cmt added per Bauch, paa, 7/9/14  Samples were received chilled at the WHOI lab.","Tesuque Formation, Undifferentiated Unit",Not applicable,Not applicable,,,4040,USGS parameter code 82398,Submersible pump,,Submersible centrifugal pump,NWIS-98575345,,,Carbon-13/Carbon-12 ratio,Total,-8.93,per mil,,Accepted,,Actual,,,,,,,,,,,82081,,,,,,,,,MS039,USGS,"C-13/12, wf, per NWQL Memo 96-05",,NOSAMS General procedure document,"Natl Ocean Sciences AMS Facility (NOSAMS), Woods Hole, MA",2014-09-12,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.01402232,Quality Control Sample-Field Replicate,Water,Groundwater,2014-06-12,10:00:00,MDT,,,,,,,,,,,,,,USGS - Colorado Water Science Center,USGS-353118105550901,,"L-1670126 please lab filter S2434 cmt added per Bauch, paa, 7/9/14  Samples were received chilled at the WHOI lab.","Tesuque Formation, Undifferentiated Unit",Not applicable,Not applicable,,,4040,USGS parameter code 82398,Submersible pump,,Submersible centrifugal pump,NWIS-98575347,,,Oxygen-18/Oxygen-16 ratio,Total,-10.14,per mil,,Accepted,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,"USGS-NRP, Stable Isotope Lab, Reston, VA",2014-07-01,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.01402232,Quality Control Sample-Field Replicate,Water,Groundwater,2014-06-12,10:00:00,MDT,,,,,,,,,,,,,,USGS - Colorado Water Science Center,USGS-353118105550901,,"L-1670126 please lab filter S2434 cmt added per Bauch, paa, 7/9/14  Samples were received chilled at the WHOI lab.","Tesuque Formation, Undifferentiated Unit",Not applicable,Not applicable,,,4040,USGS parameter code 82398,Submersible pump,,Submersible centrifugal pump,NWIS-98575351,,,Neon-20/Neon-22 ratio,Total,9.813,ratio,,Preliminary,,Actual,,,,,0.01169384,,,,,NAWQA-14-CO Noble Gas Data_Batch,82753,,,,,,,,,MS071,USGS,Noble gas isotopes (USGS-NGL),,USGS TMR 5-A11,"USGS Noble Gas Lab, Denver Federal Center",2014-07-01,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.01402232,Quality Control Sample-Field Replicate,Water,Groundwater,2014-06-12,10:00:00,MDT,,,,,,,,,,,,,,USGS - Colorado Water Science Center,USGS-353118105550901,,"L-1670126 please lab filter S2434 cmt added per Bauch, paa, 7/9/14  Samples were received chilled at the WHOI lab.","Tesuque Formation, Undifferentiated Unit",Not applicable,Not applicable,,,4040,USGS parameter code 82398,Submersible pump,,Submersible centrifugal pump,NWIS-98575352,,,Argon-40/Argon-36 ratio,Total,296.5,ratio,,Preliminary,,Actual,,,,,1.56531644,,,,,NAWQA-14-CO Noble Gas Data_Batch,82756,,,,,,,,,MS071,USGS,Noble gas isotopes (USGS-NGL),,USGS TMR 5-A11,"USGS Noble Gas Lab, Denver Federal Center",2014-07-01,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.01402232,Quality Control Sample-Field Replicate,Water,Groundwater,2014-06-12,10:00:00,MDT,,,,,,,,,,,,,,USGS - Colorado Water Science Center,USGS-353118105550901,,"L-1670126 please lab filter S2434 cmt added per Bauch, paa, 7/9/14  Samples were received chilled at the WHOI lab.","Tesuque Formation, Undifferentiated Unit",Not applicable,Not applicable,,,4040,USGS parameter code 82398,Submersible pump,,Submersible centrifugal pump,NWIS-98575353,,,Krypton-86/Krypton-84 ratio,Total,0.308,ratio,,Preliminary,,Actual,,,,,0.00308070,,,,,NAWQA-14-CO Noble Gas Data_Batch,82761,,,,,,,,,MS071,USGS,Noble gas isotopes (USGS-NGL),,USGS TMR 5-A11,"USGS Noble Gas Lab, Denver Federal Center",2014-07-01,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.01402232,Quality Control Sample-Field Replicate,Water,Groundwater,2014-06-12,10:00:00,MDT,,,,,,,,,,,,,,USGS - Colorado Water Science Center,USGS-353118105550901,,"L-1670126 please lab filter S2434 cmt added per Bauch, paa, 7/9/14  Samples were received chilled at the WHOI lab.","Tesuque Formation, Undifferentiated Unit",Not applicable,Not applicable,,,4040,USGS parameter code 82398,Submersible pump,,Submersible centrifugal pump,NWIS-98575354,,,Xenon-130/Xenon-132 ratio,Total,0.161,ratio,,Preliminary,,Actual,,,,,0.01061586,,,,,NAWQA-14-CO Noble Gas Data_Batch,82766,,,,,,,,,MS071,USGS,Noble gas isotopes (USGS-NGL),,USGS TMR 5-A11,"USGS Noble Gas Lab, Denver Federal Center",2014-07-01,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.01402232,Quality Control Sample-Field Replicate,Water,Groundwater,2014-06-12,10:00:00,MDT,,,,,,,,,,,,,,USGS - Colorado Water Science Center,USGS-353118105550901,,"L-1670126 please lab filter S2434 cmt added per Bauch, paa, 7/9/14  Samples were received chilled at the WHOI lab.","Tesuque Formation, Undifferentiated Unit",Not applicable,Not applicable,,,4040,USGS parameter code 82398,Submersible pump,,Submersible centrifugal pump,NWIS-98575355,,,Neon-20/Neon-22 error,Total,0.012,ratio,,Preliminary,,Actual,,,,,,,,,,Gas Error for 82753; NAWQA-14-CO Noble Gas Data_Batch,82770,,,,,,,,,MS071,USGS,Noble gas isotopes (USGS-NGL),,USGS TMR 5-A11,"USGS Noble Gas Lab, Denver Federal Center",2014-07-01,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.01402232,Quality Control Sample-Field Replicate,Water,Groundwater,2014-06-12,10:00:00,MDT,,,,,,,,,,,,,,USGS - Colorado Water Science Center,USGS-353118105550901,,"L-1670126 please lab filter S2434 cmt added per Bauch, paa, 7/9/14  Samples were received chilled at the WHOI lab.","Tesuque Formation, Undifferentiated Unit",Not applicable,Not applicable,,,4040,USGS parameter code 82398,Submersible pump,,Submersible centrifugal pump,NWIS-98575356,,,Argon-40/Argon-36 error,Total,1.6,ratio,,Preliminary,,Actual,,,,,,,,,,Gas Error for 82756; NAWQA-14-CO Noble Gas Data_Batch,82773,,,,,,,,,MS071,USGS,Noble gas isotopes (USGS-NGL),,USGS TMR 5-A11,"USGS Noble Gas Lab, Denver Federal Center",2014-07-01,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.01402232,Quality Control Sample-Field Replicate,Water,Groundwater,2014-06-12,10:00:00,MDT,,,,,,,,,,,,,,USGS - Colorado Water Science Center,USGS-353118105550901,,"L-1670126 please lab filter S2434 cmt added per Bauch, paa, 7/9/14  Samples were received chilled at the WHOI lab.","Tesuque Formation, Undifferentiated Unit",Not applicable,Not applicable,,,4040,USGS parameter code 82398,Submersible pump,,Submersible centrifugal pump,NWIS-98575357,,,Krypton-86/Krypton-84 error,Total,0.0031,ratio,,Preliminary,,Actual,,,,,,,,,,Gas Error for 82761; NAWQA-14-CO Noble Gas Data_Batch,82778,,,,,,,,,MS071,USGS,Noble gas isotopes (USGS-NGL),,USGS TMR 5-A11,"USGS Noble Gas Lab, Denver Federal Center",2014-07-01,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.01402232,Quality Control Sample-Field Replicate,Water,Groundwater,2014-06-12,10:00:00,MDT,,,,,,,,,,,,,,USGS - Colorado Water Science Center,USGS-353118105550901,,"L-1670126 please lab filter S2434 cmt added per Bauch, paa, 7/9/14  Samples were received chilled at the WHOI lab.","Tesuque Formation, Undifferentiated Unit",Not applicable,Not applicable,,,4040,USGS parameter code 82398,Submersible pump,,Submersible centrifugal pump,NWIS-98575358,,,Xenon-130/Xenon-132 error,Total,0.0106,ratio,,Preliminary,,Actual,,,,,,,,,,Gas Error for 82766; NAWQA-14-CO Noble Gas Data_Batch,82783,,,,,,,,,MS071,USGS,Noble gas isotopes (USGS-NGL),,USGS TMR 5-A11,"USGS Noble Gas Lab, Denver Federal Center",2014-07-01,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.01402232,Quality Control Sample-Field Replicate,Water,Groundwater,2014-06-12,10:00:00,MDT,,,,,,,,,,,,,,USGS - Colorado Water Science Center,USGS-353118105550901,,"L-1670126 please lab filter S2434 cmt added per Bauch, paa, 7/9/14  Samples were received chilled at the WHOI lab.","Tesuque Formation, Undifferentiated Unit",Not applicable,Not applicable,,,4040,USGS parameter code 82398,Submersible pump,,Submersible centrifugal pump,NWIS-98575360,,,Helium-4,Dissolved,0.0000000526,cm3/g @STP,,Preliminary,,Actual,,,,,5.2621E-10,,,,,NAWQA-14-CO Noble Gas Data_Batch,85561,,,,,,,,,MS071,USGS,Noble gas isotopes (USGS-NGL),,USGS TMR 5-A11,"USGS Noble Gas Lab, Denver Federal Center",2014-07-01,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.01402232,Quality Control Sample-Field Replicate,Water,Groundwater,2014-06-12,10:00:00,MDT,,,,,,,,,,,,,,USGS - Colorado Water Science Center,USGS-353118105550901,,"L-1670126 please lab filter S2434 cmt added per Bauch, paa, 7/9/14  Samples were received chilled at the WHOI lab.","Tesuque Formation, Undifferentiated Unit",Not applicable,Not applicable,,,4040,USGS parameter code 82398,Submersible pump,,Submersible centrifugal pump,NWIS-98575361,,,Helium-4,Total,0.0000000005,cm3/g @STP,,Preliminary,Standard Deviation,Actual,,,,,,,,,,Gas Error for 85561; NAWQA-14-CO Noble Gas Data_Batch,85562,,,,,,,,,MS071,USGS,Noble gas isotopes (USGS-NGL),,USGS TMR 5-A11,"USGS Noble Gas Lab, Denver Federal Center",2014-07-01,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.01402232,Quality Control Sample-Field Replicate,Water,Groundwater,2014-06-12,10:00:00,MDT,,,,,,,,,,,,,,USGS - Colorado Water Science Center,USGS-353118105550901,,"L-1670126 please lab filter S2434 cmt added per Bauch, paa, 7/9/14  Samples were received chilled at the WHOI lab.","Tesuque Formation, Undifferentiated Unit",Not applicable,Not applicable,,,4040,USGS parameter code 82398,Submersible pump,,Submersible centrifugal pump,NWIS-98575368,,,Helium-3/helium-4 error,Total,0.0000000105,None,,Preliminary,Standard Deviation,Actual,,,,,,,,,,Gas Error for 61040; NAWQA-14-CO Noble Gas Data_Batch,85569,,,,,,,,,MS071,USGS,Noble gas isotopes (USGS-NGL),,USGS TMR 5-A11,"USGS Noble Gas Lab, Denver Federal Center",2014-07-01,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.01402229,Sample-Routine,Water,Groundwater,2014-06-09,11:00:00,MDT,,,,,,,,,,,,,,USGS - Colorado Water Science Center,USGS-354957106095101,,"L-1610016 LC4200 added, please lab filter S2434 per Bauch, paa, 7/9/14  Samples were received chilled at the WHOI lab.  Updated station name from SFb8 per Bauch.  KB 7/3/14",Santa Fe Group,Not applicable,Not applicable,,,USGS,USGS,USGS,,Unknown,NWIS-98573647,,,Helium-3/helium-4 ratio,Total,0.00000264,ratio,,Preliminary,,Actual,,,,,2.5216E-08,,,,,NAWQA-14-CO Noble Gas Data_Batch,61040,,,,,,,,,MS071,USGS,Noble gas isotopes (USGS-NGL),,USGS TMR 5-A11,"USGS Noble Gas Lab, Denver Federal Center",2014-07-01,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.01402229,Sample-Routine,Water,Groundwater,2014-06-09,11:00:00,MDT,,,,,,,,,,,,,,USGS - Colorado Water Science Center,USGS-354957106095101,,"L-1610016 LC4200 added, please lab filter S2434 per Bauch, paa, 7/9/14  Samples were received chilled at the WHOI lab.  Updated station name from SFb8 per Bauch.  KB 7/3/14",Santa Fe Group,Not applicable,Not applicable,,,USGS,USGS,USGS,,Unknown,NWIS-98573666,,,Delta boron-11/boron-10,Dissolved,-7.83,per mil,,Preliminary,,Actual,,,,,,,,,,,62648,,,,,,,,,MS060,USGS,"B-11/B-10, wf, neg therm-ion MS",,"Fresenius J. Anal. Chem., 1996, 354(7-8), 903-909","USGS-NRP, Metals Isotope Research Lab, Menlo Park, CA",,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.01402229,Sample-Routine,Water,Groundwater,2014-06-09,11:00:00,MDT,,,,,,,,,,,,,,USGS - Colorado Water Science Center,USGS-354957106095101,,"L-1610016 LC4200 added, please lab filter S2434 per Bauch, paa, 7/9/14  Samples were received chilled at the WHOI lab.  Updated station name from SFb8 per Bauch.  KB 7/3/14",Santa Fe Group,Not applicable,Not applicable,,,USGS,USGS,USGS,,Unknown,NWIS-98573911,,,"Strontium-87/Strontium-86, ratio",Dissolved,0.70747,ratio,,Preliminary,,Actual,,,,,,,,,,,75978,,,,,,,,,MS061,USGS,"Sr-87/Sr-86, wf, MS",,"Geochim Cosmochim Acta, 1996, v 60, p 1807-1821","USGS-NRP, Metals Isotope Research Lab, Menlo Park, CA",,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.01402229,Sample-Routine,Water,Groundwater,2014-06-09,11:00:00,MDT,,,,,,,,,,,,,,USGS - Colorado Water Science Center,USGS-354957106095101,,"L-1610016 LC4200 added, please lab filter S2434 per Bauch, paa, 7/9/14  Samples were received chilled at the WHOI lab.  Updated station name from SFb8 per Bauch.  KB 7/3/14",Santa Fe Group,Not applicable,Not applicable,,,USGS,USGS,USGS,,Unknown,NWIS-98573951,,,Carbon-13/Carbon-12 ratio,Total,-5.70,per mil,,Accepted,,Actual,,,,,,,,,,,82081,,,,,,,,,MS039,USGS,"C-13/12, wf, per NWQL Memo 96-05",,NOSAMS General procedure document,"Natl Ocean Sciences AMS Facility (NOSAMS), Woods Hole, MA",2014-09-12,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.01402229,Sample-Routine,Water,Groundwater,2014-06-09,11:00:00,MDT,,,,,,,,,,,,,,USGS - Colorado Water Science Center,USGS-354957106095101,,"L-1610016 LC4200 added, please lab filter S2434 per Bauch, paa, 7/9/14  Samples were received chilled at the WHOI lab.  Updated station name from SFb8 per Bauch.  KB 7/3/14",Santa Fe Group,Not applicable,Not applicable,,,USGS,USGS,USGS,,Unknown,NWIS-98573953,,,Oxygen-18/Oxygen-16 ratio,Total,-12.96,per mil,,Accepted,,Actual,,,,,,,,,,,82085,,,,,,,,,MS020,USGS,"Oxygen-18/16, wu, by MS",,USGS TMR 10-C1,"USGS-NRP, Stable Isotope Lab, Reston, VA",2014-07-01,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.01402229,Sample-Routine,Water,Groundwater,2014-06-09,11:00:00,MDT,,,,,,,,,,,,,,USGS - Colorado Water Science Center,USGS-354957106095101,,"L-1610016 LC4200 added, please lab filter S2434 per Bauch, paa, 7/9/14  Samples were received chilled at the WHOI lab.  Updated station name from SFb8 per Bauch.  KB 7/3/14",Santa Fe Group,Not applicable,Not applicable,,,USGS,USGS,USGS,,Unknown,NWIS-98573957,,,Neon-20/Neon-22 ratio,Total,9.798,ratio,,Preliminary,,Actual,,,,,0.01167597,,,,,NAWQA-14-CO Noble Gas Data_Batch,82753,,,,,,,,,MS071,USGS,Noble gas isotopes (USGS-NGL),,USGS TMR 5-A11,"USGS Noble Gas Lab, Denver Federal Center",2014-07-01,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.01402229,Sample-Routine,Water,Groundwater,2014-06-09,11:00:00,MDT,,,,,,,,,,,,,,USGS - Colorado Water Science Center,USGS-354957106095101,,"L-1610016 LC4200 added, please lab filter S2434 per Bauch, paa, 7/9/14  Samples were received chilled at the WHOI lab.  Updated station name from SFb8 per Bauch.  KB 7/3/14",Santa Fe Group,Not applicable,Not applicable,,,USGS,USGS,USGS,,Unknown,NWIS-98573958,,,Argon-40/Argon-36 ratio,Total,299.3,ratio,,Preliminary,,Actual,,,,,1.57976428,,,,,NAWQA-14-CO Noble Gas Data_Batch,82756,,,,,,,,,MS071,USGS,Noble gas isotopes (USGS-NGL),,USGS TMR 5-A11,"USGS Noble Gas Lab, Denver Federal Center",2014-07-01,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.01402229,Sample-Routine,Water,Groundwater,2014-06-09,11:00:00,MDT,,,,,,,,,,,,,,USGS - Colorado Water Science Center,USGS-354957106095101,,"L-1610016 LC4200 added, please lab filter S2434 per Bauch, paa, 7/9/14  Samples were received chilled at the WHOI lab.  Updated station name from SFb8 per Bauch.  KB 7/3/14",Santa Fe Group,Not applicable,Not applicable,,,USGS,USGS,USGS,,Unknown,NWIS-98573959,,,Krypton-86/Krypton-84 ratio,Total,0.306,ratio,,Preliminary,,Actual,,,,,0.00306380,,,,,NAWQA-14-CO Noble Gas Data_Batch,82761,,,,,,,,,MS071,USGS,Noble gas isotopes (USGS-NGL),,USGS TMR 5-A11,"USGS Noble Gas Lab, Denver Federal Center",2014-07-01,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.01402229,Sample-Routine,Water,Groundwater,2014-06-09,11:00:00,MDT,,,,,,,,,,,,,,USGS - Colorado Water Science Center,USGS-354957106095101,,"L-1610016 LC4200 added, please lab filter S2434 per Bauch, paa, 7/9/14  Samples were received chilled at the WHOI lab.  Updated station name from SFb8 per Bauch.  KB 7/3/14",Santa Fe Group,Not applicable,Not applicable,,,USGS,USGS,USGS,,Unknown,NWIS-98573960,,,Xenon-130/Xenon-132 ratio,Total,0.157,ratio,,Preliminary,,Actual,,,,,0.01036372,,,,,NAWQA-14-CO Noble Gas Data_Batch,82766,,,,,,,,,MS071,USGS,Noble gas isotopes (USGS-NGL),,USGS TMR 5-A11,"USGS Noble Gas Lab, Denver Federal Center",2014-07-01,,,,,,,,NWIS
USGS-NM,USGS New Mexico Water Science Center,nwisnm.01.01402229,Sample-Routine,Water,Groundwater,2014-06-09,11:00:00,MDT,,,,,,,,,,,,,,USGS - Colorado Water Science Center,USGS-354957106095101,,"L-1610016 LC4200 added, please lab filter S2434 per Bauch, paa, 7/9/14  Samples were received chilled at the WHOI lab.  Updated station name from SFb8 per Bauch.  KB 7/3/14",Santa Fe Group,Not applicable,Not applicable,,,USGS,USGS,USGS,,Unknown,NWIS-98573961,,,Neon-20/Neon-22 error,Total,0.012,ratio,,Preliminary,,Actual,,,,,,,,,,Gas Error for 82753; NAWQA-14-CO Noble Gas Data_Batch,82770,,,,,,,,,MS071,USGS,Noble gas isotopes (USGS-NGL),,USGS TMR 5-A11,"USGS Noble Gas Lab, Denver Federal Center",2014-07-01,,,,,,,,NWIS
